1,ת. רכבת יבנה מזרח
1,ת. רכבת יבנה מערב
2,ת. רכבת יבנה מזרח
2א,ת. רכבת יבנה מזרח
2,ת. רכבת יבנה מערב
2א,ת. רכבת יבנה מערב
3,ת. רכבת יבנה מזרח
3,ת. רכבת יבנה מערב
4,ת. רכבת יבנה מזרח
4,ת. רכבת יבנה מערב
5,הרימון/הברוש
5,ת. רכבת יבנה מערב
17,דרך מנחם בגין/חיים נחמן ביאליק
17א,דרך מנחם בגין/חיים נחמן ביאליק
17,ת. מרכזית אשדוד
17א,ת. מרכזית אשדוד
35,הדר/התפוח
35,ת. מרכזית יבנה
36,ת. רכבת רחובות/הורדה
36,שתולים/3703
37,ת. רכבת רחובות/הורדה
37,מרכז מסחרי/חשמונאים
48,ת. מרכזית רחובות/הורדה
48,ת. מרכזית יבנה
178,ת.מרכזית תל אביב קומה 6/הורדה
178,גיבורי החיל/הנמל
212,ת. מרכזית רחובות/הורדה
212,ת. מרכזית אשדוד
220,ת. מרכזית רחובות/הורדה
220,ת. מרכזית אשדוד
280,ת. רכבת תל אביב
280,ת. מרכזית אשדוד
284,ת. מרכזית ראשל''צ
284,ת. מרכזית אשדוד
312,ת.מרכזית תל אביב קומה 6/הורדה
312,ת. מרכזית אשדוד
313,ת. מרכזית רמלה/הורדה
313,ת. מרכזית אשדוד
314,צה''ל/נחל דן
314,ת. מרכזית אשדוד
315,בי''ח שיב''א/שדרות אהרון קציר
315,ת. מרכזית אשדוד
320,ת.מרכזית תל אביב קומה 6/הורדה
320,ת. מרכזית אשדוד
321,ת.מרכזית תל אביב קומה 6/הורדה
321,ת.מרכזית תל אביב קומה 6/הורדה
321,כיכר טופז
322,דבורה הנביאה/ראול ולנברג
322,רכבת/מסוף ביג
323,ת. מרכזית רמלה/הורדה
323,ת. מרכזית אשדוד
324,ת.מרכזית תל אביב קומה 6/הורדה
326,ת.מרכזית תל אביב קומה 6/הורדה
330,נתב''ג טרמינל 3/קומת תח''צ
330,ת. מרכזית אשדוד
340,ת.מרכזית תל אביב קומה 6/הורדה
340,הכוהנים/התאנה
49,ת. רכבת רחובות/הורדה
49,ת. מרכזית יבנה
462,ת. רכבת תל אביב
475,ת.מרכזית תל אביב קומה 6/הורדה
475,ת.מרכזית תל אביב קומה 6/הורדה
475,ארבע עונות/חללי אגוז
475,האלה/דרך לוד הירוקה
2א,מסוף רמות
2א,שד. הצנחנים / צבי בן יעקב
14א,חניון רכב כבד/הבונים
14א,ת. רכבת ב''ש צפון
18א,ת.מרכזית/עירוניים לצפון
1,מחסן עירייה
1,אלחזאן/חטין
3,רפח/אלבואי
3,מסוף תפוז/אלסאלם
40,בי''ס אלמותנבי
40,מתנ''ס מרכז העיר
41,ת. רכבת להבים רהט
41,ת. רכבת להבים רהט
41,בית ספר אל הודא
41,בית ספר אל הודא
450,שדרות נפתלי אימבר/קק''ל
450,חממות
451,שדרות נפתלי אימבר/קק''ל
452,שדרות נפתלי אימבר/קק''ל
455,שדרות נפתלי אימבר/קק''ל
455,חממות
2,דולב/קהילת יהדות צרפת
2,דולב/קהילת יהדות צרפת
2,מצדה/חרמון
2,מצדה/חרמון
2,שוק/ז'בוטינסקי
3,קניון נהריה
6א,ת. מרכזית צפת/הורדה
9,ת. מרכזית צפת/הורדה
12,מתחם ביג כרמיאל
12,המעפילים/כלנית
22,ת. מרכזית נהריה/הורדה
22,ת. מרכזית נהריה/הורדה
23,חניתה
23,ת. מרכזית נהריה/הורדה
24,עראמשה י/תחנה סופית
24,ת. מרכזית נהריה/הורדה
25,גורן 4
25,ת. מרכזית נהריה/הורדה
27,שתולה יציאה
27,ת. מרכזית נהריה/הורדה
27,ת. מרכזית נהריה/הורדה
28,מתת
28,ת. מרכזית נהריה/הורדה
39,בית ספר כפר ורדים
39,בית כנסת/ז'בוטינסקי
39,ת. מרכזית נהריה/הורדה
40,אבירים ב
40,ת. מרכזית נהריה/הורדה
41,הרב קוק/ז'בוטינסקי
41,ת. מרכזית נהריה/הורדה
42,ת. מרכזית נהריה/הורדה
43,כיכר המזרקה
43,ת. מרכזית נהריה/הורדה
44,מסעדת אלשריף
44,ת. מרכזית נהריה/הורדה
44,ת. מרכזית נהריה/הורדה
45,כיכר כיסרא
45,ת. מרכזית נהריה/הורדה
45,עלמה מרכז
45,ת. מרכזית צפת/הורדה
47,מכללת מזרח התיכון
47,ת. מרכזית נהריה/הורדה
65,בריאות השן
65,פארק 2
66,כניסה מערבית
66,מרכז טניס
75,בית ספר ניסויי תפן
75,מתת
75,מתת
76,בית ספר ניסויי תפן
76,אבירים ב
81,מסעף סאסא
82,עירייה
82,עירייה
82,עירייה
82,עירייה
82,בי''ס בירב/כ''ב ילדי מעלות
82,צומת צפת
82,צומת צפת
84,הרבי מילובאוויטש/ההסתדרות
84,הרבי מילובאוויטש/ההסתדרות
84,הרבי מילובאוויטש/ההסתדרות
84,שפרינצק/קרן היסוד
84,שפרינצק/קרן היסוד
86,בית ספר מעליא
86,מאר אליאס/אל מרג'
86,מאר אליאס/אל מרג'
86,הרבי מילובאוויטש/ההסתדרות
86,יוספטל/טיילת ג'ינה
86,צומת צפת
86,צומת צפת
87,בית ספר ממלכתי ב
87,בית ספר ממלכתי ב
87,בית ספר ממלכתי ב
87,בית ספר ממלכתי ב
87,צומת צפת
87,מצפה האגם 1
87,נוף כנרת 8
96,בית ספר מעליא
96,כפר סמיע ז
96,כפר סמיע ז
367,ת. מרכזית צפת/הורדה
367,ת. מרכזית צפת/הורדה
367,ת. מרכזית נהריה/הורדה
511,ת. מרכזית צפת/הורדה
522,ישיבת שפתי צדיק/שלב ג
522,ת. מרכזית צפת/הורדה
43,מלכיה/מרכז
43,ת. מרכזית צפת/הורדה
1,דולב/קהילת יהדות צרפת
1,בית כנסת/ז'בוטינסקי
4,שכונה בדואית 4
14,ת. רכבת כרמיאל
15,בית ג'ן 1
35,ת.מרכזית עכו/דרך הארבעה
35,ת.מרכזית עכו/דרך הארבעה
35,שד. מ''ג המעפילים/כלנית
35,שד. מ''ג המעפילים/כלנית
46,תיכון עמל
46,ת. מרכזית נהריה/הורדה
294,אוניברסיטה/רב תכליתי
294,מאר אליאס/אל מרג'
295,אוניברסיטה/רב תכליתי
295,ראמה ה/יציאה
70,הנדיב/המייסדים
70,ת. מרכזית חדרה/רציפים
600,ת.מרכזית תל אביב קומה 6/הורדה
600,ת. מרכזית נתניה
601,ת.מרכזית תל אביב קומה 6/הורדה
601,ת. רכבת נתניה
604,מסוף רדינג/הורדה
604,ת. מרכזית נתניה
605,ת.מרכזית תל אביב קומה 6/הורדה
605,ת. מרכזית נתניה
650,המלכים/הרב מיימון
606,ת.מרכזית תל אביב קומה 6/הורדה
606,ת. רכבת נתניה
607,ת.מרכזית תל אביב קומה 6/הורדה
613,בית העלמין/חזון אי''ש
613,קמיל הויסמנס/בלפור
610,איזור התעשיה כפר סבא
610,ת. רכבת נתניה
2,כפר דחי
2,ת.מרכזית עפולה/הורדה
3,צוקית/טבלן
3,ת.מרכזית עפולה/הורדה
10,התעשיה/חיטה
10,ת.מרכזית עפולה/הורדה
13,בית אבות משלב/ז'בוטינסקי
13,ת.מרכזית עפולה/הורדה
13,ת.מרכזית עפולה/שפרינצק
14,ת.מרכזית עפולה/הורדה
16,קיבוץ כפר רופין
