38831,בי''ס בר לב/בן יהודה
38832,הרצל/צומת בילו
38833,הנחשול/הדייגים
38834,משה פריד/יצחק משקה
38836,ת. מרכזית לוד/הורדה
38837,חנה אברך/וולקני
38838,הרצל/משה שרת
38839,הבנים/אלי כהן
38840,ויצמן/הבנים
38841,האירוס/הכלנית
38842,הכלנית/הנרקיס
38844,אלי כהן/לוחמי הגטאות
38845,שבזי/שבת אחים
38846,שבזי/ויצמן
38847,חיים ברלב/שדרות יצחק רבין
38848,מרכז לבריאות הנפש לב השרון
38849,מרכז לבריאות הנפש לב השרון
38851,אנדרטה לנופלים/עמנואל הלזנר
38852,הולצמן/המדע
38854,מחנה צריפין/מועדון
38855,הרצל/גולני
38856,הרותם/הדגניות
38859,הערבה
38860,מבוא הגפן/מורד התאנה
38861,מבוא הגפן/ההרחבה
38862,ההרחבה א
38863,ההרחבה ב
38864,ההרחבה/הותיקים
38865,רשות שדות התעופה/העליה
38866,כנף/ברוש
38867,החבורה/דב הוז
38869,בית הלוי ה
38870,הראשונים/כביש 5700
38872,הגאון בן איש חי/צאלון
38873,עוקשי/לוי אשכול
38875,מנוחה ונחלה/יעקב
38876,גורודסקי/יחיאל פלדי
38878,דרך הפארק/הרב נריה
38879,התאנה/הגפן
38880,התאנה/האלון
38881,דרך הפרחים/יסמין
38882,אולפנא הרב בהרן/פינס
38883,יצחק רבין/פנחס ספיר
38884,מנחם בגין/יצחק רבין
38885,חיים הרצוג/שדרות מנחם בגין
38886,בית ספר גוונים/ארז
38887,דרך האילנות/אלון
38888,דרך האילנות/מנחם בגין
38889,העצמאות/וייצמן
38890,וייצמן/מרבד הקסמים
38891,צאלה/אלמוג
38892,גן חצב/צאלה
38893,בית המועצה/פינס
38894,פיינברג/שכביץ
38895,בן גוריון/פוקס
38898,לוי אשכול/הרב דוד ישראל
38899,ת. רכבת רחובות/הורדה
38901,הרב דוד ישראל/אריה דולצין
38902,ברשבסקי/מנחם כהן
38903,קרוננברג/ארגמן
38904,יעקב פריימן/בנימין שמוטקין
38905,אנילביץ'/שלום אש
38906,נחמיה/בית העלמין
38907,יהודה הלוי/גבעתי
38908,ההגנה/חי''ש
38909,קרית עקרון/כביש 411
38910,צומת חולדה/כביש 411
38911,גרינשפן/יגאל אלון
38912,השומר/האבות
38913,משה שרת/יעקב קנר
38914,הדייגים/הנחשול
38916,יוסף בורג/משואות יצחק
38917,יוסף בורג/כתריאל רפפורט
38918,מקס נורדאו/בנימין
38919,וייצמן/החרש
38920,שדרות משה דיין/יוסף לישנסקי
38921,השר חיים שפירא/יוסף ספיר
38922,השר חיים שפירא/הרב שלום ג'רופי
39001,שדרות יעקב/נחמיה
39002,שדרות יעקב/יוסף הנשיא
39004,לייב יוספזון/יעקב ברמן
39005,הרב יעקב ברמן/הרב יהודה צבי מלצר
39006,ברמן/מלצר
39007,הנשיא הראשון/מכון ויצמן
39008,הנשיא הראשון/קיפניס
39009,שמחה הולצברג/אברהם ליכטנשטיין
39010,שמחה הולצברג/אברהם ליכטנשטיין
39012,הירדן/הערבה
39013,הירדן/חרוד
39014,האלונים/הדקל
39015,האלונים/שמואל שפירא
39017,האלונים א/הדקל
39018,פארק תעשיות שילת
39019,פארק תעשיות שילת
39024,עיריית מודיעין מכבים רעות
39025,חטיבת אלכסנדרוני/חטיבת גולני
39028,חיים ברלב/מרדכי מקלף
39029,חיים ברלב/מרדכי מקלף
39031,חטיבת גולני/מרדכי מקלף
39032,כליל החורש/מגדל דוד
39033,כליל החורש/מגדל דוד
39035,אלמוג סנטר/אפרים קישון
39039,גן חק''ל/רבאט
39040,גן חק''ל/רבאט
39041,קניון צ. רמלה לוד/דוכיפת
39042,היצירה/התקווה
39043,היצירה/התקווה
39044,עמל/היצירה
39045,נווה תרצה
39048,ישראל פרנקל/הרמב''ם
39051,ישראל פרנקל/דוב הוז
39052,יוספטל/הדס
39054,עמיחי/מאיר בינט
39055,השריון/הצנחנים
39056,אהרון בוגנים/משה שרת
39057,גרשון ש''ץ/שמחה הולצברג
39058,הולצברג/שץ
39059,אשכול/הרב שפירא
39060,יהודה שטיין/קרן היסוד
39066,שמשון הגיבור/המסגד
39068,ביאליק/חניתה
39069,קופת חולים כללית/ביאליק
39070,א.ס לוי/סעדיה מרדכי
39071,רזיאל/זכריה
39072,חרוד א
39073,חרוד/הירדן
39074,הירדן/דן
39075,הירדן/דן
39076,עוזי חיטמן/שושנה דמארי
39077,עוזי חיטמן/דליה רביקוביץ
39078,עוזי חיטמן/חנוך לוין
39079,אהוד מנור/חיטמן
39080,שושנה דמארי/אהוד מנור
39081,שושנה דמארי/אהוד מנור
39082,אהוד מנור/עוזי חיטמן
39083,בי''ס האמנים/עוזי חיטמן
39086,דרך האורנים/ברוש
39087,שקד/האורנים
39088,דרך החרוב/גפן
39089,דרך החרוב/גפן
39090,החרוב א
39091,החרוב א
39092,כפר רות
39100,החוף הירוק
39101,חוף פולג/רמת פולג
39102,חוף פולג/רמת פולג
39103,אהוד מנור/שוש עטרי
39104,אהוד מנור/דודו דותן
