14 | כרמיאל: תחנת הרכבת,59371;59372;54790;59483;54791;54792;59485;54793;56656;56654;56655;59486;59488;59491;59492;59375;59376;59377;59378;59386;54789;59379;59380;54786;59381;54785;54782;54783;54784;54796;54805;54795;59369;54794;50885;56668;58188;58189;58190;53509;50879
15 | בית ג'ן: מרכז,55137;50745;50773;50787;50836;54150;50881;59763;50915;59941;50917;58183;58184;58186;59371;59372;59483;54791;54792;59485;54793;56656;56654;56655;59486;59488;59491;59492;59373;59375;59376;59377;59378;59386;59379;59380;54786;59381;54785;54782;54783;54784;54796;54805;54795;59369
35 | עכו: תחנה מרכזית,50652;50639;50665;59163;59164;59165;50615;50587;50612;50581;50565;50511;50514;50524;58211;58430;50535;59168;56967;59167;59387;59166;59388;59392;59391;59389;59393;59394;55804;59396;59398;57484;59399;53305;53306;59401;59402;59403;59404;59405;59406;59407;52967;59408;59409;53079;51565;59414;57538
35 | מעלות תרשיחא: האילנות,52688;59420;57664;57841;59421;59422;59423;51564;53078;53080;59429;52964;56046;59206;59207;59208;59209;50396;59431;53304;59432;59433;57483;59434;59435;59436;59437;59438;59439;59390;59440;59441;59157;59936;59156;56966;59158;59159;59913;58210;50523;59914;50513;50537;50564;50579;50608;59321;50622;50615;50599;50640;50661;52331;58359;51251;51523
451 | באר שבע: עיר העתיקה,19958;19960;19962;19964;19966;19968;19970;19972;12862;12884;12878;11634;11647;19683;19684;19686;19689;19690;19691;19692;12899;16370;15634
452 | באר שבע: עיר העתיקה,16246;16228;16372;16164;16193;16207;16214;16296;16308;19862;19692;12899;16370;15634
455 | באר שבע: עיר העתיקה,10886;10887;10893;16142;16159;10907;16240;16252;16254;16258;16368;16280;16119;16290;16294;16296;16308;19862;19692;12899;16370;15634
455 | רהט: חממות,12679;12714;14330;13041;16438;14331;13528;16065;14395;14379;11601;13983;13949;13105;15359;16361;16369;12900;19856
2 | קהילת יהדות צרפת,56296;56297;56299;56301;59323;59297;59325;59292;50602;59324;59081;50686;50676;50666;50645;59073;50615;50587;59321;50632;59536;59537;59538;59539;59540;59541;59069;59471;58235;58238
2 | גבעת האורנים,59472;59494;59532;59533;59534;59535;59496;50622;50615;50599;50665;53339;58239;59545;50638;50604;50610;59507;59508;56302;56300;56298;58235;58238
